Nap,1989000000000000000000000000000,696340000,0.0,0.0,0.0,0.0,0.0,0.0,204,102,0,True,True,True,False,False
Merkur,4867000000000000000000000,6051800,35456659116.8656,-53553888119.5970,-7628685664.5919,230649494841250.0000,218548742358031.0000,-3298772814462.3200,244,164,96,False,False,True,False,False
Venus,4867000000000000000000000,6051800,-66782878839.1205,-85257863756.4633,2683757316.6082,203975818543897.0000,-162435493794723.0000,-13999763561019.2000,245,222,179,False,False,True,False,False
Fold,5972370000000000000000000,6371000,-26795375379.2785,144633155326.0100,-7008776.4357,-222198864792943.0000,-41296255734645.5000,-3430055660.5118,65,105,225,False,False,True,False,False
Hold,73476730000000000000000,1737400,-27002261864.1621,144958705768.2430,17055082.5359,-228444620915910.0000,-45641321583169.2000,488695972026.1200,119,136,153,False,False,True,False,False
Mars,639000000000000000000000,3389500,92881635807.9278,205797892344.0580,2034214448.8978,-158007692976536.0000,89781337888560.7000,5757573234559.6800,255,69,0,False,False,True,False,False
Jupiter,1898000000000000000000000000,71492000,454998928627.5010,-611580757181.4370,-7639736140.9182,77161123019178.8000,62884641481411.4000,-1987550547227.0900,218,165,32,False,False,True,False,False
Szaturnusz,568300000000000000000000000,60268000,821345908119.2860,-1247963784024.2100,-10992027953.0346,56309770642066.4000,39525225317215.8000,-2927587305686.6600,255,248,220,False,False,True,False,False
Uranusz,86810000000000000000000000,25559000,2296332564495.1400,1864229096563.6300,-22825194756.3290,-32343827954717.9000,37159318097810.4000,555109112901.2600,135,206,235,False,False,True,False,False
Neptunusz,102400000000000000000000000,24764000,4407231973448.9500,-782669767527.2240,-85462962397.0654,6907538741754.5400,40265592188413.2000,-987597761085.3480,0,0,150,False,False,True,False,False
